date,REV
2005-01,0.1693341880720104
2005-02,0.13166480277730463
2005-03,0.18421555528179195
2005-04,0.26918245182998535
2005-05,0.17084231593902377
2005-06,0.17665272069050705
2005-07,0.21523857153657516
2005-08,0.2268721992065711
2005-09,0.1849926306323722
2005-10,0.17949196465500566
2005-11,0.13939140043723208
2005-12,0.15262328322229607
2006-01,0.20881235371555418
2006-02,0.1735394275927073
2006-03,0.21474987103620935
2006-04,0.32128741695599383
2006-05,0.2914902813674185
2006-06,0.24632715251809756
2006-07,0.24484284175311724
2006-08,0.18777706374492442
2006-09,0.1866597679734674
2006-10,0.22566199084945618
2006-11,0.23916686595943695
2006-12,0.2920227605083463
2007-01,0.3320616151000523
2007-02,0.3045566553379848
2007-03,0.2804734588618766
2007-04,0.32914986048941397
2007-05,0.3525546194363376
2007-06,0.394057727003898
2007-07,0.28812194716386097
2007-08,0.2690247390979417
2007-09,0.30707420880542985
2007-10,0.3154407491813069
2007-11,0.2515717052186832
2007-12,0.23446787073635256
2008-01,0.2644676772126758
2008-02,0.2241826088285608
2008-03,0.22689547675399196
2008-04,0.30049376154642204
2008-05,0.24321461999937333
2008-06,0.19723459550849917
2008-07,0.2187956020064724
2008-08,0.2524094482335469
2008-09,0.23444827989229317
2008-10,0.233946772684955
2008-11,0.2734571960567376
2008-12,0.3030205993073568
2009-01,0.24229543935764733
2009-02,0.2634600860074255
2009-03,0.26144771693373814
2009-04,0.2754320260798755
2009-05,0.23289165327481287
2009-06,0.2620738324884089
2009-07,0.28294318271896934
2009-08,0.2514711242664147
2009-09,0.19348320760186175
2009-10,0.18025626486179314
2009-11,0.24254042035815415
2009-12,0.20194079962584452
2010-01,0.22917713327587147
2010-02,0.1350886972958988
2010-03,0.17674963817121145
2010-04,0.2607409098640324
2010-05,0.19655250738216962
2010-06,0.17629580921934024
2010-07,0.1885864663814127
2010-08,0.23044419278815523
2010-09,0.20972649987253564
2010-10,0.2549651655114589
2010-11,0.3077368971861693
2010-12,0.19596786513318715
2011-01,0.20020584819276646
2011-02,0.17671025895727932
2011-03,0.18976000201588428
2011-04,0.18784566232628336
2011-05,0.1526317098781727
2011-06,0.16873149973305152
2011-07,0.19110341861580765
2011-08,0.16939419057240956
2011-09,0.15554780002165364
2011-10,0.16167440483090928
2011-11,0.17292758044223008
2011-12,0.21642493909561866
2012-01,0.1894669316568896
2012-02,0.1583986312856548
2012-03,0.16642078819037404
2012-04,0.1743303549501004
2012-05,0.17616589788483833
2012-06,0.19790233694430465
2012-07,0.18689914779051592
2012-08,0.20858206946345187
2012-09,0.15766468673969364
2012-10,0.15633433314562714
2012-11,0.18711454979611344
2012-12,0.1952543918581685
2013-01,0.20581988178171515
2013-02,0.16212807682052766
2013-03,0.21914199131720508
2013-04,0.17750215838056935
2013-05,0.24399916150132228
2013-06,0.2197371230635906
2013-07,0.24174563227547977
2013-08,0.22603803061469413
2013-09,0.22981327100292614
2013-10,0.22578549927032848
2013-11,0.1969046760073001
2013-12,0.17835308082515666
2014-01,0.27684867275858166
2014-02,0.2485294242756321
2014-03,0.21141892787273475
2014-04,0.179741264272614
2014-05,0.15555800292833272
2014-06,0.17902667050834775
2014-07,0.216463810638792
2014-08,0.1837593565657012
2014-09,0.22437180104681964
2014-10,0.19638712008720305
2014-11,0.23505319790506654
2014-12,0.36607954304338297
2015-01,0.26938513020678023
2015-02,0.19466497491129914
2015-03,0.2680526840563944
2015-04,0.2987987407784076
2015-05,0.4001708190150163
2015-06,0.4010836301027234
2015-07,0.28845492273626183
2015-08,0.2868181175769332
2015-09,0.2678200124680168
2015-10,0.29146720229576445
2015-11,0.32159561524123337
2015-12,0.26289859971372437
2016-01,0.2303341398952933
2016-02,0.21584744992712976
2016-03,0.24318273801079568
2016-04,0.19795664765211454
2016-05,0.19247730198888918
2016-06,0.20469761606830938
2016-07,0.2230236651645233
2016-08,0.15968616217807033
2016-09,0.15795359894066247
2016-10,0.13854460998857307
2016-11,0.16718872659753536
2016-12,0.18575013640978918
2017-01,0.1712147984252244
2017-02,0.1341926686439893
2017-03,0.17184705597125155
2017-04,0.1916802054561586
2017-05,0.21229739586418517
2017-06,0.1650425563953714
2017-07,0.2265994430049291
2017-08,0.15697182596346426
2017-09,0.18623242199398968
2017-10,0.20144335150583098
2017-11,0.18576613640383788
2017-12,0.1640665075467136
2018-01,0.22293293098011294
2018-02,0.17289006728481573
2018-03,0.24104263661710823
2018-04,0.17885728405524476
2018-05,0.23961476609579085
2018-06,0.19348018761387548
2018-07,0.18409293218017075
2018-08,0.17623919329704724
2018-09,0.16322050169299643
2018-10,0.201410566325543
2018-11,0.20499729077425616
2018-12,0.16056998203131215
2019-01,0.2053623367629928
2019-02,0.23343747410868598
2019-03,0.24356788495001086
2019-04,0.2118394522034953
2019-05,0.19704006147540043
2019-06,0.1756705690089062
2019-07,0.18454237544747779
2019-08,0.19284377436466252
2019-09,0.17683616078657943
2019-10,0.1779796886464664
2019-11,0.1694844910376777
2019-12,0.17946883648026046
2020-01,0.23175668945668693
2020-02,0.2521870162351717
2020-03,0.27535156986094544
2020-04,0.23053956278550874
2020-05,0.22232075898488363
2020-06,0.24158606222944073
2020-07,0.2802526444967113
2020-08,0.238754729365722
2020-09,0.18662783590532087
2020-10,0.21652690020854579
2020-11,0.24049788195299499
2020-12,0.28608286162989605
2021-01,0.26452030714443026
2021-02,0.22434241852457587
2021-03,0.2419757356929584
2021-04,0.26016794412831884
2021-05,0.21647768723770697
2021-06,0.2699277413951072
2021-07,0.34523152694443404
2021-08,0.32418817639501263
2021-09,0.2918981377908234
2021-10,0.24580855551694925
2021-11,0.29907348767012465
2021-12,0.2543506317721886
2022-01,0.21319183291831564
2022-02,0.1959551929566182
2022-03,0.26225846377008466
2022-04,0.265942518337178
2022-05,0.23193317992871645
2022-06,0.2428415257929109
2022-07,0.257350741472323
2022-08,0.2129709977310002
2022-09,0.18247695407279743
2022-10,0.28999470768949936
2022-11,0.25009121655058053
2022-12,0.1811436543582115
2023-01,0.18056607824225307
2023-02,0.17720896196948405
2023-03,0.21630314692461697
2023-04,0.2451134636398259
2023-05,0.18915597361517306
2023-06,0.19234284194431148
2023-07,0.22600747653406303
2023-08,0.1599948734824106
2023-09,0.14248747384519767
2023-10,0.190094586997954
2023-11,0.1707860227718444
2023-12,0.14704305811746382
2024-01,0.27959079768262407
2024-02,0.19756928806059493
2024-03,0.22273634303942783
2024-04,0.20497822554497064
2024-05,0.1719858080406337
2024-06,0.18544636033042364
2024-07,0.1773286102058786
2024-08,0.15807074922376635
2024-09,0.22178462370143043
2024-10,0.2856360894533384
2024-11,0.22696599260508687
2024-12,0.22086939495836605
2025-01,0.16968063103171913
2025-02,0.240743087974255
2025-03,0.18525917540371564
2025-04,0.1870914099463834
2025-05,0.17441748317392972
2025-06,0.18772351313377864
2025-07,0.1997795003879934
2025-08,0.2501373454746839
2025-09,0.2595141347313378
2025-10,0.19960519683579114
2025-11,0.18077762739750414
2025-12,0.21706794640964655
